food_name,category,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,vitamin_c,calcium,iron,is_indian,region,cooking_method,spice_level,protein_ratio,fat_ratio,carb_ratio,health_score,diabetic_friendly,heart_friendly,weight_loss_friendly,muscle_gain_friendly,bmi_friendly_category
"Marmalade, orange",Sweets,246.0,0.3,66.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.15,False,International,Various,Mild,0.005,0.0,0.995,41.9,False,True,False,False,moderate_density
Orange Blossom,Liquor and cocktails,98.0,0.57,9.32,0.26,0.0,0.0,0.0,0.0,21.2,0.0,0.06,False,International,Various,Mild,0.056,0.026,0.918,45.7,True,True,False,False,low_density
Orange chicken,Stir-fry and soy-based sauce mixtures,262.0,14.46,22.46,12.68,0.0,0.0,0.0,0.0,0.9,0.0,0.94,False,International,Various,Mild,0.292,0.256,0.453,70.9,True,False,False,True,moderate_density
"Sherbet, orange",Sweets,144.0,1.1,30.4,2.0,0.0,0.0,0.0,0.0,2.3,0.0,0.14,False,International,Various,Mild,0.033,0.06,0.907,41.8,False,True,False,False,low_density
"Orange, canned, NFS",Citrus fruits,46.0,0.6,11.82,0.04,0.0,0.0,0.0,0.0,33.3,0.0,0.26,False,International,Various,Mild,0.048,0.003,0.949,48.4,True,True,False,False,low_density
"Beverages, carbonated, orange",Beverages,201.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,False,International,Various,Mild,0.0,0.0,1.0,40.0,True,True,False,False,moderate_density
"Orange peel, raw",Fruits and Fruit Juices,405.0,1.5,25.0,0.2,0.0,0.0,0.0,0.0,136.0,0.0,0.8,False,International,Various,Mild,0.056,0.007,0.936,71.5,False,True,False,False,high_density
"Orange, canned, in syrup",Citrus fruits,55.0,0.59,14.07,0.04,0.0,0.0,0.0,0.0,32.5,0.0,0.26,False,International,Various,Mild,0.04,0.003,0.957,48.2,True,True,False,False,low_density
"Oranges, raw, Florida",Fruits and Fruit Juices,46.0,0.7,11.5,0.21,0.0,0.0,0.0,0.0,45.0,0.0,0.09,False,International,Various,Mild,0.056,0.017,0.927,50.9,True,True,False,False,low_density
"Oranges, raw, navels",Fruits and Fruit Juices,47.0,0.91,11.8,0.15,0.0,0.0,0.0,0.0,59.1,0.0,0.33,False,International,Various,Mild,0.071,0.012,0.918,54.4,True,True,False,False,low_density
"Oranges, raw, with peel",Fruits and Fruit Juices,262.0,1.3,15.5,0.3,0.0,0.0,0.0,0.0,71.0,0.0,0.8,False,International,Various,Mild,0.076,0.018,0.906,57.8,True,True,False,False,moderate_density
"Tomatoes, orange, raw",Vegetables and Vegetable Products,67.0,1.16,3.18,0.19,0.0,0.0,0.0,0.0,16.0,0.0,0.47,False,International,Various,Mild,0.256,0.042,0.702,46.5,True,True,False,False,low_density
"Grapes, raw",Grapes,83.0,0.9,19.4,0.2,0.0,0.0,0.0,0.0,3.2,0.0,0.18,False,International,Various,Mild,0.044,0.01,0.946,43.1,True,True,False,False,low_density
"Grape juice, 100%",Other fruit juice,66.0,0.18,15.73,0.28,0.0,0.0,0.0,0.0,50.4,0.0,0.08,False,International,Various,Mild,0.011,0.017,0.972,50.3,True,True,False,False,low_density
"Grape leaves, canned",Vegetables and Vegetable Products,69.0,4.27,11.7,1.97,0.0,0.0,0.0,0.0,11.3,0.0,2.98,False,International,Various,Mild,0.238,0.11,0.652,53.1,True,True,False,False,low_density
"Grape leaves, raw",Vegetables and Vegetable Products,390.0,5.6,17.3,2.12,0.0,0.0,0.0,0.0,11.1,0.0,2.63,False,International,Various,Mild,0.224,0.085,0.691,56.9,True,True,False,False,high_density
"Grapes, muscadine, raw",Fruits and Fruit Juices,238.0,0.81,13.9,0.47,0.0,0.0,0.0,0.0,6.5,0.0,0.26,False,International,Various,Mild,0.053,0.031,0.916,43.3,True,True,False,False,moderate_density
"Tomatoes, grape, raw",Vegetables and Vegetable Products,27.0,0.83,5.51,0.63,0.0,0.0,0.0,0.0,27.2,0.0,0.33,False,International,Various,Mild,0.119,0.09,0.791,47.3,True,True,False,False,low_density
"Beverages, carbonated, grape soda",Beverages,180.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,False,International,Various,Mild,0.0,0.0,1.0,40.0,True,True,False,False,moderate_density
"Beverages, grape drink, canned",Beverages,61.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.07,False,International,Various,Mild,0.0,0.0,1.0,46.3,True,True,False,False,low_density
"Grape juice drink, light",Fruit drinks,23.0,0.06,5.51,0.1,0.0,0.0,0.0,0.0,17.6,0.0,0.03,False,International,Various,Mild,0.011,0.018,0.972,43.6,True,True,False,False,low_density
Grape leaves stuffed with rice,Rice mixed dishes,168.0,2.28,13.88,11.95,0.0,0.0,0.0,0.0,5.6,0.0,1.25,False,International,Various,Mild,0.081,0.425,0.494,36.0,True,True,False,False,moderate_density
"Beverages, grape juice drink, canned",Beverages,237.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.13,False,International,Various,Mild,0.0,0.0,1.0,45.3,True,True,False,False,moderate_density
"Beverages, OCEAN SPRAY, Cran Grape",Beverages,224.0,0.21,13.2,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.04,False,International,Various,Mild,0.016,0.0,0.984,46.2,True,True,False,False,moderate_density
"Grape juice, 100%, with calcium added",Other fruit juice,62.0,0.37,14.77,0.13,0.0,0.0,0.0,0.0,25.0,0.0,0.25,False,International,Various,Mild,0.024,0.009,0.967,46.0,True,True,False,False,low_density
Stuffed grape leaves with beef and rice,Meat mixed dishes,228.0,8.15,11.3,17.03,0.0,0.0,0.0,0.0,9.7,0.0,1.91,False,International,Various,Mild,0.223,0.467,0.31,49.4,True,False,False,False,moderate_density
Stuffed grape leaves with lamb and rice,Meat mixed dishes,271.0,8.17,11.89,21.52,0.0,0.0,0.0,0.0,8.0,0.0,1.83,False,International,Various,Mild,0.196,0.518,0.286,44.6,True,False,False,False,moderate_density
"Mango, raw",Mango and papaya,60.0,0.82,14.98,0.38,0.0,0.0,0.0,0.0,36.4,0.0,0.16,False,International,Various,Mild,0.051,0.023,0.926,49.4,True,True,False,False,low_density
"Mango, canned",Mango and papaya,65.0,0.62,16.22,0.3,0.0,0.0,0.0,0.0,21.8,0.0,0.12,False,International,Various,Mild,0.036,0.018,0.946,45.9,True,True,False,False,low_density
"Mango, frozen",Mango and papaya,60.0,0.82,14.98,0.38,0.0,0.0,0.0,0.0,36.4,0.0,0.16,False,International,Various,Mild,0.051,0.023,0.926,49.4,True,True,False,False,low_density
Mango nectar,Fruit drinks,51.0,0.11,13.12,0.06,0.0,0.0,0.0,0.0,15.2,0.0,0.36,False,International,Various,Mild,0.008,0.005,0.987,43.3,True,True,False,False,low_density
"Mango, dried",Dried fruits,319.0,2.45,78.58,1.18,0.0,0.0,0.0,0.0,42.3,0.0,0.23,False,International,Various,Mild,0.03,0.014,0.956,54.6,False,True,False,False,moderate_density
"Mangos, raw",Fruits and Fruit Juices,60.0,0.82,15.0,0.38,0.0,0.0,0.0,0.0,36.4,0.0,0.16,False,International,Various,Mild,0.051,0.023,0.926,49.4,True,True,False,False,low_density
"Mango nectar, canned",Fruits and Fruit Juices,51.0,0.11,13.1,0.06,0.0,0.0,0.0,0.0,15.2,0.0,0.36,False,International,Various,Mild,0.008,0.005,0.987,43.3,True,True,False,False,low_density
"Mango, dried, sweetened",Fruits and Fruit Juices,1340.0,2.45,78.6,1.18,0.0,0.0,0.0,0.0,42.3,0.0,0.23,False,International,Various,Mild,0.03,0.014,0.956,54.6,False,True,False,False,high_density
"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,37.0,1.22,7.76,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.15,False,International,Various,Mild,0.136,0.0,0.864,48.6,True,True,False,False,low_density
"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,93.0,7.64,11.8,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.03,False,International,Various,Mild,0.362,0.08,0.558,61.2,True,True,False,False,low_density
"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,33.0,0.0,8.23,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,False,International,Various,Mild,0.0,0.0,1.0,44.9,True,True,False,False,low_density
"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,49.0,0.41,11.4,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.15,False,International,Various,Mild,0.035,0.0,0.965,46.1,True,True,False,False,low_density
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,262.0,0.42,15.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.15,False,International,Various,Mild,0.027,0.0,0.973,41.8,True,True,False,False,moderate_density
"Salsa, red, homemade",Tomato-based condiments,34.0,1.44,6.74,0.19,0.0,0.0,0.0,0.0,1.9,0.0,0.42,False,International,Various,Mild,0.172,0.023,0.805,44.5,True,True,False,False,low_density
"Pear, raw",Pears,59.0,0.37,15.18,0.15,0.0,0.0,0.0,0.0,4.3,0.0,0.18,False,International,Various,Mild,0.024,0.01,0.967,41.8,True,True,False,False,low_density
Pear nectar,Fruit drinks,60.0,0.11,15.76,0.01,0.0,0.0,0.0,0.0,1.1,0.0,0.26,False,International,Various,Mild,0.007,0.001,0.992,40.5,True,True,False,False,low_density
"Pear, dried",Dried fruits,262.0,1.87,69.7,0.63,0.0,0.0,0.0,0.0,7.0,0.0,2.1,False,International,Various,Mild,0.026,0.009,0.965,46.4,False,True,False,False,moderate_density
"Pears, raw",Fruits and Fruit Juices,57.0,0.36,15.2,0.14,0.0,0.0,0.0,0.0,4.3,0.0,0.18,False,International,Various,Mild,0.023,0.009,0.968,41.8,True,True,False,False,low_density
"Pear, Asian, raw",Pears,42.0,0.5,10.65,0.23,0.0,0.0,0.0,0.0,3.8,0.0,0.0,False,International,Various,Mild,0.044,0.02,0.936,42.0,True,True,False,False,low_density
"Pear, canned, in syrup",Pears,59.0,0.18,15.15,0.05,0.0,0.0,0.0,0.0,0.9,0.0,0.2,False,International,Various,Mild,0.012,0.003,0.985,40.7,True,True,False,False,low_density
"Pear, canned, NFS",Pears,52.0,0.2,13.47,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.25,False,International,Various,Mild,0.015,0.004,0.981,40.7,True,True,False,False,low_density
"Pears, asian, raw",Fruits and Fruit Juices,176.0,0.5,10.6,0.23,0.0,0.0,0.0,0.0,3.8,0.0,0.0,False,International,Various,Mild,0.044,0.02,0.936,42.0,True,True,False,False,moderate_density
"Pears, raw, bartlett",Fruits and Fruit Juices,238.0,0.38,15.1,0.16,0.0,0.0,0.0,0.0,4.4,0.0,0.17,False,International,Various,Mild,0.024,0.01,0.965,41.9,True,True,False,False,moderate_density
"Prickly pears, raw",Fruits and Fruit Juices,172.0,0.73,9.57,0.51,0.0,0.0,0.0,0.0,14.0,0.0,0.3,False,International,Various,Mild,0.068,0.047,0.885,44.5,True,True,False,False,moderate_density
"Pear, canned, juice pack",Pears,45.0,0.23,11.79,0.07,0.0,0.0,0.0,0.0,1.1,0.0,0.29,False,International,Various,Mild,0.019,0.006,0.975,40.8,True,True,False,False,low_density
"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1100.0,1.87,69.7,0.63,0.0,0.0,0.0,0.0,7.0,0.0,2.1,False,International,Various,Mild,0.026,0.009,0.965,46.4,False,True,False,False,high_density
"Pears, raw, red anjou",Fruits and Fruit Juices,62.0,0.33,14.9,0.14,0.0,0.0,0.0,0.0,5.2,0.0,0.19,False,International,Various,Mild,0.021,0.009,0.969,41.9,True,True,False,False,low_density
"Strawberries, raw",Strawberries,36.0,0.64,7.96,0.22,0.0,0.0,0.0,0.0,59.6,0.0,0.26,False,International,Various,Mild,0.073,0.025,0.902,53.6,True,True,False,False,low_density
"Strawberries, canned",Strawberries,92.0,0.56,23.53,0.26,0.0,0.0,0.0,0.0,31.7,0.0,0.49,False,International,Various,Mild,0.023,0.011,0.966,47.8,True,True,False,False,low_density
"Strawberries, frozen",Strawberries,35.0,0.43,9.13,0.11,0.0,0.0,0.0,0.0,41.2,0.0,0.75,False,International,Various,Mild,0.044,0.011,0.944,49.4,True,True,False,False,low_density
"Pie, strawberry",Cakes and pies,289.0,2.88,44.22,11.6,0.0,0.0,0.0,0.0,15.8,0.0,1.37,False,International,Various,Mild,0.049,0.198,0.753,40.2,False,True,False,False,moderate_density
"Toppings, strawberry",Sweets,1060.0,0.2,66.3,0.1,0.0,0.0,0.0,0.0,13.7,0.0,0.28,False,International,Various,Mild,0.003,0.002,0.995,43.2,False,True,False,False,high_density
"Cake or cupcake, strawberry",Cakes and pies,326.0,2.22,50.25,12.89,0.0,0.0,0.0,0.0,3.3,0.0,0.87,False,International,Various,Mild,0.034,0.197,0.769,34.4,False,False,False,False,moderate_density
"Cake, strawberry shortcake",Cakes and pies,214.0,3.31,40.09,4.73,0.0,0.0,0.0,0.0,12.4,0.0,1.6,False,International,Various,Mild,0.069,0.098,0.833,47.7,False,True,False,False,moderate_density
"Guavas, strawberry, raw",Fruits and Fruit Juices,289.0,0.58,17.4,0.6,0.0,0.0,0.0,0.0,37.0,0.0,0.22,False,International,Various,Mild,0.031,0.032,0.936,48.5,True,True,False,False,moderate_density
"Ice creams, strawberry",Sweets,803.0,3.2,27.6,8.4,0.0,0.0,0.0,0.0,7.7,0.0,0.21,False,International,Various,Mild,0.082,0.214,0.704,42.7,False,True,False,False,high_density
"McDONALD'S, Strawberry Sundae",Fast Foods,158.0,3.19,28.1,3.95,0.0,0.0,0.0,0.0,1.5,0.0,0.1,False,International,Various,Mild,0.091,0.112,0.797,45.9,False,True,False,False,moderate_density
Strawberry drink syrup,"Jams, syrups, toppings",261.0,0.0,65.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,False,International,Various,Mild,0.0,0.0,1.0,40.0,False,True,False,False,moderate_density
"Strawberry juice, 100%",Other fruit juice,23.0,0.42,5.17,0.14,0.0,0.0,0.0,0.0,38.7,0.0,0.17,False,International,Various,Mild,0.073,0.024,0.902,48.9,True,True,False,False,low_density
"Strawberry milk, NFS","Flavored milk, reduced fat",65.0,3.2,8.54,2.06,0.0,0.0,0.0,0.0,0.1,0.0,0.02,False,International,Various,Mild,0.232,0.149,0.619,47.6,True,True,False,False,low_density
"Strawberry milk, whole","Flavored milk, whole",86.0,3.03,11.79,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.03,False,International,Various,Mild,0.17,0.167,0.663,46.1,True,True,False,False,low_density
"Fast foods, sundae, strawberry",Fast Foods,732.0,4.09,29.2,5.13,0.0,0.0,0.0,0.0,1.3,0.0,0.21,False,International,Various,Mild,0.106,0.134,0.76,47.4,False,True,False,False,high_density
"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,62.0,3.39,10.2,0.9,0.0,0.0,0.0,0.0,1.5,0.0,0.04,False,International,Various,Mild,0.234,0.062,0.704,49.6,True,True,False,False,low_density
SILK Strawberry soy yogurt,Legumes and Legume Products,94.0,2.35,18.2,1.18,0.0,0.0,0.0,0.0,17.6,0.0,0.64,False,International,Various,Mild,0.108,0.054,0.838,49.4,True,True,False,False,low_density
"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,402.0,0.53,25.9,0.13,0.0,0.0,0.0,0.0,41.4,0.0,0.59,False,International,Various,Mild,0.02,0.005,0.975,49.7,False,True,False,False,high_density
"Blueberries, raw",Blueberries and other berries,64.0,0.7,14.57,0.31,0.0,0.0,0.0,0.0,8.1,0.0,0.34,False,International,Various,Mild,0.045,0.02,0.935,43.4,True,True,False,False,low_density
"Blueberries, frozen",Blueberries and other berries,51.0,0.42,12.17,0.64,0.0,0.0,0.0,0.0,2.5,0.0,0.18,False,International,Various,Mild,0.032,0.048,0.92,41.1,True,True,False,False,low_density
"Blueberries, dried",Dried fruits,317.0,2.5,80.0,2.5,0.0,0.0,0.0,0.0,23.8,0.0,0.9,False,International,Various,Mild,0.029,0.029,0.941,49.8,False,True,False,False,moderate_density
Blueberry juice,Other fruit juice,42.0,0.46,9.47,0.2,0.0,0.0,0.0,0.0,5.3,0.0,0.22,False,International,Various,Mild,0.045,0.02,0.935,42.2,True,True,False,False,low_density
Blueberry syrup,"Jams, syrups, toppings",341.0,0.0,85.13,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.04,False,International,Various,Mild,0.0,0.0,1.0,40.3,False,True,False,False,moderate_density
"Pie, blueberry",Cakes and pies,300.0,2.82,37.95,15.52,0.0,0.0,0.0,0.0,1.1,0.0,1.21,False,International,Various,Mild,0.05,0.276,0.674,33.2,False,False,False,False,moderate_density
"Blueberries, dried, sweetened",Fruits and Fruit Juices,1330.0,2.5,80.0,2.5,0.0,0.0,0.0,0.0,23.8,0.0,0.9,False,International,Various,Mild,0.029,0.029,0.941,49.8,False,True,False,False,high_density
"Blueberries, frozen, sweetened",Fruits and Fruit Juices,355.0,0.4,22.0,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.39,False,International,Various,Mild,0.018,0.006,0.976,41.3,True,True,False,False,high_density
Blueberry pie filling,"Jams, syrups, toppings",181.0,0.41,44.38,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.8,False,International,Various,Mild,0.009,0.004,0.986,41.2,False,True,False,False,moderate_density
"Muffins, blueberry, toaster-type",Baked Products,1310.0,4.6,53.3,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.51,False,International,Various,Mild,0.068,0.141,0.791,44.3,False,True,False,False,high_density
"Pie fillings, blueberry, canned",Sweets,757.0,0.41,44.4,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.8,False,International,Various,Mild,0.009,0.004,0.986,41.2,False,True,False,False,high_density
"Pie, blueberry, commercially prepared",Baked Products,971.0,1.8,34.9,10.0,0.0,0.0,0.0,0.0,2.7,0.0,0.3,False,International,Various,Mild,0.039,0.214,0.747,35.9,False,True,False,False,high_density
SILK Blueberry soy yogurt,Legumes and Legume Products,88.0,2.35,17.1,1.18,0.0,0.0,0.0,0.0,17.6,0.0,0.64,False,International,Various,Mild,0.114,0.057,0.829,49.4,True,True,False,False,low_density
"Yogurt, Greek, Blueberry, CHOBANI",Dairy and Egg Products,82.0,7.23,12.8,0.24,0.0,0.0,0.0,0.0,0.3,0.0,0.15,False,International,Various,Mild,0.357,0.012,0.631,61.5,True,True,False,False,low_density
Potato patty,French fries and other fried white potatoes,171.0,3.89,13.49,11.32,0.0,0.0,0.0,0.0,0.5,0.0,0.75,False,International,Various,Mild,0.136,0.394,0.47,40.4,True,True,False,False,moderate_density
"Soup, potato","Soups, cream-based",90.0,1.51,10.53,4.71,0.0,0.0,0.0,0.0,7.1,0.0,0.34,False,International,Various,Mild,0.09,0.281,0.629,41.2,True,True,False,False,low_density
Potato pancake,Mashed potatoes and white potato mixtures,196.0,4.47,20.64,10.8,0.0,0.0,0.0,0.0,15.6,0.0,1.3,False,International,Various,Mild,0.124,0.301,0.575,45.7,True,True,False,False,moderate_density
Stewed potatoes,Mashed potatoes and white potato mixtures,103.0,1.99,16.26,3.39,0.0,0.0,0.0,0.0,15.1,0.0,0.38,False,International,Various,Mild,0.092,0.157,0.751,45.6,True,True,False,False,low_density
"Potato, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.0,0.0,0.0,0.0,12.1,0.0,0.34,False,International,Various,Mild,0.07,0.16,0.77,43.8,True,True,False,False,low_density
"Bread, potato",Baked Products,1120.0,12.5,47.1,3.13,0.0,0.0,0.0,0.0,0.0,0.0,2.25,False,International,Various,Mild,0.199,0.05,0.751,74.4,False,True,False,True,high_density
"Gnocchi, potato","Pasta mixed dishes, excludes macaroni and cheese",135.0,2.44,17.2,6.33,0.0,0.0,0.0,0.0,1.9,0.0,0.83,False,International,Various,Mild,0.094,0.244,0.662,41.4,True,True,False,False,low_density
Potato flour,Vegetables and Vegetable Products,357.0,6.9,83.1,0.34,0.0,0.0,0.0,0.0,3.8,0.0,1.38,False,International,Various,Mild,0.076,0.004,0.92,61.1,False,True,False,False,high_density
Potato pancakes,Vegetables and Vegetable Products,268.0,6.08,27.8,14.8,0.0,0.0,0.0,0.0,27.6,0.0,1.67,False,International,Various,Mild,0.125,0.304,0.571,49.0,False,False,False,False,moderate_density
"Soup, potato with meat","Soups, cream-based",109.0,3.78,8.81,6.43,0.0,0.0,0.0,0.0,5.5,0.0,0.48,False,International,Various,Mild,0.199,0.338,0.463,46.0,True,True,False,False,low_density
"Potato tots, NFS",French fries and other fried white potatoes,237.0,1.9,24.4,15.46,0.0,0.0,0.0,0.0,6.4,0.0,0.47,False,International,Various,Mild,0.045,0.37,0.584,31.5,True,False,False,False,moderate_density
"Potato tots, school",French fries and other fried white potatoes,166.0,2.02,19.34,9.16,0.0,0.0,0.0,0.0,10.1,0.0,0.66,False,International,Various,Mild,0.066,0.3,0.634,38.9,True,True,False,False,moderate_density
